Statistical profiling result from isolate-0x272f480-v8.log, (721 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.7%          /usr/lib64/libc-2.17.so
      1    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
      6    0.8%    0.8%  Builtin: InterpreterEntryTrampoline
      3    0.4%    0.4%  Builtin: CallFunction_ReceiverIsAny
      2    0.3%    0.3%  Stub: CallICStubANY, DISALLOW_TAIL_CALLS
      2    0.3%    0.3%  Function: ~validateFirebaseData /home/ua32p/node_modules/firebase/database/core/util/validation.js:110:88
      2    0.3%    0.3%  Function: ~get native collection.js:234:16
      2    0.3%    0.3%  Builtin: StringPrototypeSubstring
      2    0.3%    0.3%  Builtin: ObjectHasOwnProperty
      2    0.3%    0.3%  Builtin: FastNewObject
      2    0.3%    0.3%  Builtin: FastNewClosure
      1    0.1%    0.1%  Stub: StringAddStub_CheckNone_NotTenured
      1    0.1%    0.1%  Stub: CEntryStub {2}
      1    0.1%    0.1%  LazyCompile: *validatePriorityNode /home/ua32p/node_modules/firebase/database/core/snap/snap.js:53:88
      1    0.1%    0.1%  LazyCompile: *nodeFromJSON /home/ua32p/node_modules/firebase/database/core/snap/nodeFromJSON.js:56:22
      1    0.1%    0.1%  LazyCompile: *ValidationPath.pop /home/ua32p/node_modules/firebase/database/core/util/Path.js:284:45
      1    0.1%    0.1%  LazyCompile: *NAME_ONLY_COMPARATOR /home/ua32p/node_modules/firebase/database/core/snap/comparators.js:15:30
      1    0.1%    0.1%  LazyCompile: *LLRBNode /home/ua32p/node_modules/firebase/database/core/util/SortedMap.js:123:22
      1    0.1%    0.1%  LazyCompile: *ChildrenNode.getPriority /home/ua32p/node_modules/firebase/database/core/snap/ChildrenNode.js:111:51
      1    0.1%    0.1%  LazyCompile: *<anonymous> /home/ua32p/node_modules/firebase/database/core/util/ServerValues.js:106:75
      1    0.1%    0.1%  Function: ~validatePriorityNode /home/ua32p/node_modules/firebase/database/core/snap/snap.js:53:88
      1    0.1%    0.1%  Function: ~tryParseInt /home/ua32p/node_modules/firebase/database/core/util/util.js:547:61
      1    0.1%    0.1%  Function: ~stringLength /home/ua32p/node_modules/firebase/utils/utf8.js:78:64
      1    0.1%    0.1%  Function: ~runInThisContext vm.js:115:26
      1    0.1%    0.1%  Function: ~resolveDeferredValueSnapshot /home/ua32p/node_modules/firebase/database/core/util/ServerValues.js:88:112
      1    0.1%    0.1%  Function: ~normalizeStringPosix path.js:99:30
      1    0.1%    0.1%  Function: ~nodeFromJSON /home/ua32p/node_modules/firebase/database/core/snap/nodeFromJSON.js:56:22
      1    0.1%    0.1%  Function: ~nameCompare /home/ua32p/node_modules/firebase/database/core/util/util.js:316:61
      1    0.1%    0.1%  Function: ~makeRequireFunction internal/module.js:5:29
      1    0.1%    0.1%  Function: ~isValidKey /home/ua32p/node_modules/firebase/database/core/util/validation.js:62:58
